Athlete,Closing Ceremony Date,Country,Sport,Year,Age,Bronze Medals,Gold Medals,Silver Medals,Total Medals
Michael Phelps,24-08-2008,United States,Swimming,2008,23,0,8,0,8
Michael Phelps,29-08-2004,United States,Swimming,2004,19,2,6,0,8
Michael Phelps,12-08-2012,United States,Swimming,2012,27,0,4,2,6
Natalie Coughlin,24-08-2008,United States,Swimming,2008,25,3,1,2,6
Aleksey Nemov,01-10-2000,Russia,Gymnastics,2000,24,3,2,1,6
Alicia Coutts,12-08-2012,Australia,Swimming,2012,24,1,1,3,5
Missy Franklin,12-08-2012,United States,Swimming,2012,17,1,4,0,5
Ryan Lochte,12-08-2012,United States,Swimming,2012,27,1,2,2,5
Allison Schmitt,12-08-2012,United States,Swimming,2012,22,1,3,1,5
Natalie Coughlin,29-08-2004,United States,Swimming,2004,21,1,2,2,5
Ian Thorpe,01-10-2000,Australia,Swimming,2000,17,0,3,2,5
Dara Torres,01-10-2000,United States,Swimming,2000,33,3,2,0,5
Cindy Klassen,26-02-2006,Canada,Speed Skating,2006,26,2,1,2,5
Nastia Liukin,24-08-2008,United States,Gymnastics,2008,18,1,1,3,5
Marit Bjørgen,28-02-2010,Norway,Cross Country Skiing,2010,29,1,3,1,5
Sun Yang,12-08-2012,China,Swimming,2012,20,1,2,1,4
Kirsty Coventry,24-08-2008,Zimbabwe,Swimming,2008,24,0,1,3,4
Libby Lenton-Trickett,24-08-2008,Australia,Swimming,2008,23,1,2,1,4
Ryan Lochte,24-08-2008,United States,Swimming,2008,24,2,2,0,4
Inge de Bruijn,29-08-2004,Netherlands,Swimming,2004,30,2,1,1,4
Petria Thomas,29-08-2004,Australia,Swimming,2004,28,0,3,1,4
Ian Thorpe,29-08-2004,Australia,Swimming,2004,21,1,2,1,4
Inge de Bruijn,01-10-2000,Netherlands,Swimming,2000,27,0,3,1,4
Gary Hall Jr.,01-10-2000,United States,Swimming,2000,25,1,2,1,4
Michael Klim,01-10-2000,Australia,Swimming,2000,23,0,2,2,4
Susie O'Neill,01-10-2000,Australia,Swimming,2000,27,0,1,3,4
Jenny Thompson,01-10-2000,United States,Swimming,2000,27,1,3,0,4
Pieter van den Hoogenband,01-10-2000,Netherlands,Swimming,2000,22,2,2,0,4
An Hyeon-Su,26-02-2006,South Korea,Short-Track Speed Skating,2006,20,1,3,0,4
Aliya Mustafina,12-08-2012,Russia,Gymnastics,2012,17,2,1,1,4
Shawn Johnson,24-08-2008,United States,Gymnastics,2008,16,0,1,3,4
Dmitry Sautin,01-10-2000,Russia,Diving,2000,26,2,1,1,4
Leontien Zijlaard-van Moorsel,01-10-2000,Netherlands,Cycling,2000,30,0,3,1,4
Petter Northug Jr.,28-02-2010,Norway,Cross Country Skiing,2010,24,1,2,1,4
Ole Einar Bjørndalen,24-02-2002,Norway,Biathlon,2002,28,0,4,0,4
Janica Kostelic,24-02-2002,Croatia,Alpine Skiing,2002,20,0,3,1,4
Nathan Adrian,12-08-2012,United States,Swimming,2012,23,0,2,1,3
Yannick Agnel,12-08-2012,France,Swimming,2012,20,0,2,1,3
Brittany Elmslie,12-08-2012,Australia,Swimming,2012,18,0,1,2,3
Matt Grevers,12-08-2012,United States,Swimming,2012,27,0,2,1,3
Ryosuke Irie,12-08-2012,Japan,Swimming,2012,22,1,0,2,3
Cullen Jones,12-08-2012,United States,Swimming,2012,28,0,1,2,3
Ranomi Kromowidjojo,12-08-2012,Netherlands,Swimming,2012,21,0,2,1,3
Camille Muffat,12-08-2012,France,Swimming,2012,22,1,1,1,3
Mel Schlanger,12-08-2012,Australia,Swimming,2012,25,0,1,2,3
Emily Seebohm,12-08-2012,Australia,Swimming,2012,20,0,1,2,3
Rebecca Soni,12-08-2012,United States,Swimming,2012,25,0,2,1,3
Satomi Suzuki,12-08-2012,Japan,Swimming,2012,21,2,0,1,3
Dana Vollmer,12-08-2012,United States,Swimming,2012,24,0,3,0,3
Alain Bernard,24-08-2008,France,Swimming,2008,25,1,1,1,3
László Cseh Jr.,24-08-2008,Hungary,Swimming,2008,22,0,0,3,3
Matt Grevers,24-08-2008,United States,Swimming,2008,23,0,2,1,3
Margaret Hoelzer,24-08-2008,United States,Swimming,2008,25,1,0,2,3
Katie Hoff,24-08-2008,United States,Swimming,2008,19,2,0,1,3
Leisel Jones,24-08-2008,Australia,Swimming,2008,22,0,2,1,3
Kosuke Kitajima,24-08-2008,Japan,Swimming,2008,25,1,2,0,3
Andrew Lauterstein,24-08-2008,Australia,Swimming,2008,21,2,0,1,3
Jason Lezak,24-08-2008,United States,Swimming,2008,32,1,2,0,3
Pang Jiaying,24-08-2008,China,Swimming,2008,23,2,0,1,3
Aaron Peirsol,24-08-2008,United States,Swimming,2008,25,0,2,1,3
Steph Rice,24-08-2008,Australia,Swimming,2008,20,0,3,0,3
Jess Schipper,24-08-2008,Australia,Swimming,2008,21,2,1,0,3
Rebecca Soni,24-08-2008,United States,Swimming,2008,21,0,1,2,3
Eamon Sullivan,24-08-2008,Australia,Swimming,2008,22,1,0,2,3
Dara Torres,24-08-2008,United States,Swimming,2008,41,0,0,3,3
Amanda Beard,29-08-2004,United States,Swimming,2004,22,0,1,2,3
Antje Buschschulte,29-08-2004,Germany,Swimming,2004,25,3,0,0,3
Kirsty Coventry,29-08-2004,Zimbabwe,Swimming,2004,20,1,1,1,3
Ian Crocker,29-08-2004,United States,Swimming,2004,21,1,1,1,3
Grant Hackett,29-08-2004,Australia,Swimming,2004,24,0,1,2,3
Brendan Hansen,29-08-2004,United States,Swimming,2004,22,1,1,1,3
Jodie Henry,29-08-2004,Australia,Swimming,2004,20,0,3,0,3
Otylia Jedrzejczak,29-08-2004,Poland,Swimming,2004,20,0,1,2,3
Leisel Jones,29-08-2004,Australia,Swimming,2004,18,1,1,1,3
Kosuke Kitajima,29-08-2004,Japan,Swimming,2004,21,1,2,0,3
Laure Manaudou,29-08-2004,France,Swimming,2004,17,1,1,1,3
Aaron Peirsol,29-08-2004,United States,Swimming,2004,21,0,3,0,3
Kaitlin Sandeno,29-08-2004,United States,Swimming,2004,21,1,1,1,3
Roland Schoeman,29-08-2004,South Africa,Swimming,2004,24,1,1,1,3
Pieter van den Hoogenband,29-08-2004,Netherlands,Swimming,2004,26,0,1,2,3
Therese Alshammar,01-10-2000,Sweden,Swimming,2000,23,1,0,2,3
Yana Klochkova,01-10-2000,Ukraine,Swimming,2000,18,0,2,1,3
Lenny Krayzelburg,01-10-2000,United States,Swimming,2000,24,0,3,0,3
Massimiliano Rosolino,01-10-2000,Italy,Swimming,2000,22,1,1,1,3
Petria Thomas,01-10-2000,Australia,Swimming,2000,25,1,0,2,3
Matt Welsh,01-10-2000,Australia,Swimming,2000,23,1,0,2,3
Lee Jeong-Su,28-02-2010,South Korea,Short-Track Speed Skating,2010,20,0,2,1,3
Apolo Anton Ohno,28-02-2010,United States,Short-Track Speed Skating,2010,27,2,0,1,3
Wang Meng,28-02-2010,China,Short-Track Speed Skating,2010,24,0,3,0,3
Jin Seon-Yu,26-02-2006,South Korea,Short-Track Speed Skating,2006,17,0,3,0,3
Lee Ho-Seok,26-02-2006,South Korea,Short-Track Speed Skating,2006,19,0,1,2,3
Apolo Anton Ohno,26-02-2006,United States,Short-Track Speed Skating,2006,23,2,1,0,3
Wang Meng,26-02-2006,China,Short-Track Speed Skating,2006,20,1,1,1,3
Marc Gagnon,24-02-2002,Canada,Short-Track Speed Skating,2002,26,1,2,0,3
Yang Yang (A),24-02-2002,China,Short-Track Speed Skating,2002,25,0,2,1,3
Stephanie Beckert,28-02-2010,Germany,Speed Skating,2010,21,0,1,2,3
Martina Sáblíková,28-02-2010,Czech Republic,Speed Skating,2010,22,1,2,0,3
Enrico Fabris,26-02-2006,Italy,Speed Skating,2006,24,1,2,0,3
Chad Hedrick,26-02-2006,United States,Speed Skating,2006,28,1,1,1,3
Jochem Uytdehaage,24-02-2002,Netherlands,Speed Skating,2002,25,0,2,1,3
Sabine Völker,24-02-2002,Germany,Speed Skating,2002,28,1,0,2,3
Gregor Schlierenzauer,28-02-2010,Austria,Ski Jumping,2010,20,2,1,0,3
Lars Bystøl,26-02-2006,Norway,Ski Jumping,2006,27,2,1,0,3
Johnny Spillane,28-02-2010,United States,Nordic Combined,2010,29,0,0,3,3
Felix Gottwald,26-02-2006,Austria,Nordic Combined,2006,30,0,2,1,3
Georg Hettich,26-02-2006,Germany,Nordic Combined,2006,27,1,1,1,3
Felix Gottwald,24-02-2002,Austria,Nordic Combined,2002,26,3,0,0,3
Samppa Lajunen,24-02-2002,Finland,Nordic Combined,2002,22,0,3,0,3
